sub_area,taxon,rcp,time_period,per_chg_mean,per_chg_sd
14,601381,rcp85,AAA_end,-1.9720995240692094,88.28124119224499
34.1,600024,rcp26,AA_med,0,0
34.1,600024,rcp26,AAA_end,0,0
34.1,600024,rcp85,AA_med,0,0
34.1,600024,rcp85,AAA_end,0,0
34.1,600030,rcp26,AA_med,-9.646201127779465,14.215267713066227
34.1,600030,rcp26,AAA_end,-9.02014049880066,28.118417074751562
34.1,600030,rcp85,AA_med,-12.59034823999414,16.267407275535525
34.1,600030,rcp85,AAA_end,-9.388004105568065,44.768632207531184
34.1,600066,rcp26,AA_med,-5.472455541238042,25.341903329377867
34.1,600066,rcp26,AAA_end,-5.891062566360243,23.889193470543958
34.1,600066,rcp85,AA_med,-8.40195667662602,35.7018338358549
34.1,600066,rcp85,AAA_end,-9.558711673744353,59.811589085168556
34.1,600069,rcp26,AA_med,0,0
34.1,600069,rcp26,AAA_end,0,0
34.1,600069,rcp85,AA_med,0,0
34.1,600069,rcp85,AAA_end,0,0
34.1,600118,rcp26,AA_med,-52.694580364522,51.628708650452104
34.1,600118,rcp26,AAA_end,-69.95789074798944,52.735943758649285
34.1,600118,rcp85,AA_med,-55.85271810126897,40.825659132090856
34.1,600118,rcp85,AAA_end,-133.302862390163,53.3275133420349
34.1,600525,rcp26,AA_med,-7.117406150674117,25.71325384873514
34.1,600525,rcp26,AAA_end,-4.2013578318238345,29.033229020997144
34.1,600525,rcp85,AA_med,-6.020025245188456,27.22900771282355
34.1,600525,rcp85,AAA_end,-0.3109572187935795,51.15937925894323
34.1,601278,rcp26,AA_med,-21.498149658086188,44.195499902570795
34.1,601278,rcp26,AAA_end,-22.296170542638897,56.91886504939622
34.1,601278,rcp85,AA_med,-26.321913419073216,61.42304540282703
34.1,601278,rcp85,AAA_end,-80.98596153448183,113.82965587517693
34.1,601342,rcp26,AA_med,-2.7377571283018325,19.783720936258625
34.1,601342,rcp26,AAA_end,0.2743902178671579,27.824390591121745
34.1,601342,rcp85,AA_med,-6.375124604973872,20.019966535193234
34.1,601342,rcp85,AAA_end,4.170048103281693,53.37909801857217
34.1,601381,rcp26,AA_med,0,0
34.1,601381,rcp26,AAA_end,0,0
34.1,601381,rcp85,AA_med,0,0
34.1,601381,rcp85,AAA_end,0,0
